CodiInte;PorcInte;FechInte
7494;10.09000;2024-01-31
7495;10.11700;2024-02-01
7496;10.18200;2024-02-16
7497;10.24600;2024-03-01
7498;10.31000;2024-03-16
7499;10.37500;2024-04-01
7500;10.41500;2024-04-16
7501;10.46800;2024-05-01
7502;10.52000;2024-05-16
7503;10.57300;2024-06-01
7504;10.62500;2024-06-16
7505;10.67800;2024-07-01
7506;10.73000;2024-07-16
7507;10.78300;2024-08-01
7508;10.83500;2024-08-16
7509;10.88800;2024-09-01
7510;10.94000;2024-09-16
7511;10.99300;2024-10-01
7512;11.04500;2024-10-16
7513;11.09800;2024-11-01
7514;11.15000;2024-11-16
7515;11.20300;2024-12-01
7516;11.25500;2024-12-16
